timestamp,application,log_level,message,user_id,session_id,source_ip,destination_ip,response_code,latency_ms,cpu_usage,memory_usage,disk_io,network_bandwidth,module,error_code
2024-06-18 08:47:33,LoanProcessing,CRITICAL,Database connection lost,1904,SID-440326,180.139.137.172,251.185.146.7,200,268.5,93.92,92.73,80.24,395.6,Transaction,AUTH_401
2024-04-25 08:16:29,InsuranceApp,INFO,API response delayed,5092,SID-537555,72.166.11.67,187.59.24.173,404,831.22,28.8,59.81,49.97,402.61,API Gateway,API_TIMEOUT
2025-03-13 08:25:36,BankingApp,INFO,User authentication failed,1514,SID-323896,234.17.15.177,75.104.222.239,401,-397.08,46.02,68.54,33.95,806.32,Scheduler,API_TIMEOUT
2025-04-05 08:04:21,InsuranceApp,ERROR,Service unavailable,3888,SID-276329,132.177.135.178,109.205.243.202,200,501.31,44.59,49.97,44.69,391.06,API Gateway,API_TIMEOUT
2025-04-10 08:40:10,InsuranceApp,WARNING,Transaction processed,2507,SID-852603,125.132.14.212,179.82.25.169,503,1445.01,69.24,32.06,16.87,814.69,API Gateway,AUTH_401
2024-09-09 08:50:32,FraudDetection,INFO,Service unavailable,3472,SID-942257,230.144.250.187,215.158.205.189,201,3.07,49.77,51.84,47.69,519.47,Transaction,TXN_FAILURE
2025-01-04 08:54:16,BankingApp,CRITICAL,Memory usage high,6616,SID-225068,242.142.173.46,137.86.42.58,404,1822.77,50.55,21.42,20.11,952.16,Auth,DB_CONN_FAIL
2025-03-02 08:27:56,FraudDetection,CRITICAL,Transaction processed,5645,SID-614358,150.220.211.225,211.5.198.172,404,81.56,66.05,81.65,38.1,567.51,Database,CPU_OVERLOAD
2024-10-13 08:17:27,LoanProcessing,WARNING,User authentication failed,4550,SID-548654,31.8.49.157,125.192.220.235,503,2874.87,14.17,27.42,41.4,963.26,Transaction,NULL
2024-05-09 08:04:53,LoanProcessing,INFO,CPU spike detected,4734,SID-689554,156.29.238.25,77.98.117.142,503,548.89,66.41,83.27,81.57,733.16,Auth,DB_CONN_FAIL
2024-07-29 08:39:04,BankingApp,INFO,API response delayed,5089,SID-137156,143.112.98.46,70.111.225.183,500,946.65,48.87,81.57,72.84,146.14,Cache,AUTH_401
2025-03-30 08:37:45,LoanProcessing,INFO,API response delayed,8630,SID-916930,158.102.217.147,169.145.216.236,500,2024.85,77.88,37.34,76.59,248.68,Auth,MEM_LEAK
2024-04-27 08:48:18,FraudDetection,WARNING,Database connection lost,2545,SID-413090,45.196.224.203,243.247.120.147,403,1775.83,24.38,36.06,97.56,585.3,Transaction,API_TIMEOUT
2024-08-31 08:34:45,BankingApp,ERROR,Database connection lost,3768,SID-838526,255.210.102.112,187.130.52.122,200,820.89,57.77,86.27,63.12,301.4,Transaction,TXN_FAILURE
2025-04-13 08:42:42,LoanProcessing,ERROR,Memory usage high,7758,SID-685133,71.47.153.220,140.235.100.246,403,2.11,79.63,64.76,92.95,304.48,Cache,AUTH_401
2024-12-20 08:04:59,LoanProcessing,CRITICAL,Database connection lost,1549,SID-536696,38.56.199.255,224.251.36.116,400,1507.16,20.86,58.43,31.28,915.03,API Gateway,TXN_FAILURE
2025-01-03 08:46:50,BankingApp,CRITICAL,API response delayed,8755,SID-953202,171.55.24.107,166.73.200.120,201,615.41,30.74,39.32,7.6,351.66,Transaction,AUTH_401
2024-05-22 08:13:21,LoanProcessing,ERROR,Memory usage high,5353,SID-565164,196.188.232.34,13.155.153.192,201,3008.31,75.97,71.68,93.5,553.42,Transaction,API_TIMEOUT
