alert_id,application,alert_timestamp,alert_type,severity,root_cause,resolution_steps,mean_time_to_detect,mean_time_to_resolve,escalated,resolved_by,change_implemented,post_resolution_status,text
ALERT-27985,NotificationService,03/11/2024 00:00,Delayed Response Time,High,Slow database queries,Optimize DB queries,17,63,No,Infrastructure Team,,Reoccurred,03/11/2024 00:00 Delayed Response Time Optimize DB queries NotificationService High Slow database queries  Reoccurred
ALERT-18151,BankingApp,10/12/2024 00:00,Delayed Response Time,Medium,High server load,Optimize DB queries,5,28,Yes,Automated System,,Closed,10/12/2024 00:00 Delayed Response Time Optimize DB queries BankingApp Medium High server load  Closed
ALERT-21732,InsuranceApp,04/03/2025 00:00,Service Unavailability,High,Deployment issues breaking services,Restart service automatically,19,96,Yes,Support Engineer,Infrastructure Scaling,Reoccurred,04/03/2025 00:00 Service Unavailability Restart service automatically InsuranceApp High Deployment issues breaking services Infrastructure Scaling Reoccurred
ALERT-74730,InsuranceApp,21/04/2024 00:00,Database Performance Issues,High,Unoptimized SQL Queries,Scale database resources,9,91,Yes,Support Engineer,Infrastructure Scaling,Reoccurred,21/04/2024 00:00 Database Performance Issues Scale database resources InsuranceApp High Unoptimized SQL Queries Infrastructure Scaling Reoccurred
ALERT-74754,BankingApp,18/02/2025 00:00,High CPU Usage,High,"Inefficient code (infinite loops, unoptimized queries)",Optimize queries and code,24,101,Yes,Automated System,Infrastructure Scaling,Monitoring,"18/02/2025 00:00 High CPU Usage Optimize queries and code BankingApp High Inefficient code (infinite loops, unoptimized queries) Infrastructure Scaling Monitoring"
ALERT-84098,PaymentGateway,06/11/2024 00:00,Database Performance Issues,Critical,High DB connections,Optimize queries and add indexing,9,71,No,Support Engineer,Infrastructure Scaling,Partially Fixed,06/11/2024 00:00 Database Performance Issues Optimize queries and add indexing PaymentGateway Critical High DB connections Infrastructure Scaling Partially Fixed
ALERT-43332,LoanProcessing,16/02/2025 00:00,Database Performance Issues,Critical,High DB connections,Kill long-running queries,11,77,Yes,Infrastructure Team,,Reoccurred,16/02/2025 00:00 Database Performance Issues Kill long-running queries LoanProcessing Critical High DB connections  Reoccurred
ALERT-71558,NotificationService,21/03/2025 00:00,Delayed Response Time,Medium,Backend service delays,Optimize DB queries,17,72,Yes,Automated System,Code Fix,Partially Fixed,21/03/2025 00:00 Delayed Response Time Optimize DB queries NotificationService Medium Backend service delays Code Fix Partially Fixed
ALERT-71240,InsuranceApp,10/05/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Improve memory management,8,20,Yes,Support Engineer,,Closed,10/05/2024 00:00 Memory Leak Detected Improve memory management InsuranceApp Critical High number of background processes  Closed
ALERT-19470,BankingApp,03/08/2024 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,24,61,Yes,Support Engineer,Code Fix,Monitoring,03/08/2024 00:00 API Failure - 500 Error Surge Scale up backend services BankingApp High Service down Code Fix Monitoring
ALERT-19063,BankingApp,17/12/2024 00:00,Database Performance Issues,High,Indexing issues,Optimize queries and add indexing,15,106,No,Automated System,Code Fix,Resolved,17/12/2024 00:00 Database Performance Issues Optimize queries and add indexing BankingApp High Indexing issues Code Fix Resolved
ALERT-33600,LoanProcessing,04/12/2024 00:00,High CPU Usage,Critical,"Inefficient code (infinite loops, unoptimized queries)",Optimize queries and code,14,64,Yes,Infrastructure Team,,Closed,"04/12/2024 00:00 High CPU Usage Optimize queries and code LoanProcessing Critical Inefficient code (infinite loops, unoptimized queries)  Closed"
ALERT-93814,NotificationService,04/04/2024 00:00,Database Performance Issues,High,High DB connections,Scale database resources,11,56,No,Automated System,Database Indexing,Monitoring,04/04/2024 00:00 Database Performance Issues Scale database resources NotificationService High High DB connections Database Indexing Monitoring
ALERT-73779,LoanProcessing,23/07/2024 00:00,Delayed Response Time,Medium,Network congestion,Scale application infrastructure,14,36,Yes,Automated System,Database Indexing,Resolved,23/07/2024 00:00 Delayed Response Time Scale application infrastructure LoanProcessing Medium Network congestion Database Indexing Resolved
ALERT-21396,LoanProcessing,29/04/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,8,117,Yes,Support Engineer,Code Fix,Partially Fixed,29/04/2024 00:00 API Failure - 500 Error Surge Scale up backend services LoanProcessing High High API traffic exceeding rate limits Code Fix Partially Fixed
ALERT-46911,LoanProcessing,03/10/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Restart affected services,1,57,Yes,Support Engineer,,Monitoring,03/10/2024 00:00 Memory Leak Detected Restart affected services LoanProcessing Critical High number of background processes  Monitoring
ALERT-98816,InventoryService,04/08/2024 00:00,Service Unavailability,High,Server crash or unexpected shutdown,Rollback recent deployments,21,108,No,Support Engineer,Database Indexing,Monitoring,04/08/2024 00:00 Service Unavailability Rollback recent deployments InventoryService High Server crash or unexpected shutdown Database Indexing Monitoring
ALERT-76375,InventoryService,01/02/2025 00:00,Memory Leak Detected,Medium,High number of background processes,Improve memory management,5,119,No,Automated System,Infrastructure Scaling,Reoccurred,01/02/2025 00:00 Memory Leak Detected Improve memory management InventoryService Medium High number of background processes Infrastructure Scaling Reoccurred
ALERT-87672,InventoryService,09/08/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Restart failing microservices,10,92,No,Support Engineer,Code Fix,Reoccurred,09/08/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InventoryService Critical High API traffic exceeding rate limits Code Fix Reoccurred
ALERT-16584,BankingApp,25/04/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,11,49,Yes,Infrastructure Team,,Reoccurred,25/04/2024 00:00 API Failure - 500 Error Surge Scale up backend services BankingApp Critical Service down  Reoccurred
ALERT-67477,NotificationService,08/08/2024 00:00,Service Unavailability,Critical,Network connectivity issues,Restart service automatically,17,93,Yes,Automated System,Code Fix,Monitoring,08/08/2024 00:00 Service Unavailability Restart service automatically NotificationService Critical Network connectivity issues Code Fix Monitoring
ALERT-11354,PaymentGateway,10/01/2025 00:00,Delayed Response Time,Medium,Slow database queries,Optimize DB queries,12,36,No,Support Engineer,Code Fix,Resolved,10/01/2025 00:00 Delayed Response Time Optimize DB queries PaymentGateway Medium Slow database queries Code Fix Resolved
ALERT-60572,LoanProcessing,24/07/2024 00:00,Database Performance Issues,High,Indexing issues,Kill long-running queries,21,77,No,Infrastructure Team,Database Indexing,Monitoring,24/07/2024 00:00 Database Performance Issues Kill long-running queries LoanProcessing High Indexing issues Database Indexing Monitoring
ALERT-67050,InsuranceApp,03/08/2024 00:00,Database Performance Issues,High,High DB connections,Scale database resources,8,73,No,Automated System,Infrastructure Scaling,Closed,03/08/2024 00:00 Database Performance Issues Scale database resources InsuranceApp High High DB connections Infrastructure Scaling Closed
ALERT-74891,PaymentGateway,09/01/2025 00:00,Service Unavailability,High,Network connectivity issues,Investigate network issues,17,47,No,Automated System,Database Indexing,Reoccurred,09/01/2025 00:00 Service Unavailability Investigate network issues PaymentGateway High Network connectivity issues Database Indexing Reoccurred
ALERT-19817,InventoryService,27/11/2024 00:00,Service Unavailability,Critical,Network connectivity issues,Restart service automatically,11,84,Yes,Infrastructure Team,,Reoccurred,27/11/2024 00:00 Service Unavailability Restart service automatically InventoryService Critical Network connectivity issues  Reoccurred
ALERT-66611,InsuranceApp,24/12/2024 00:00,Delayed Response Time,High,Backend service delays,Optimize DB queries,4,69,Yes,Support Engineer,Infrastructure Scaling,Partially Fixed,24/12/2024 00:00 Delayed Response Time Optimize DB queries InsuranceApp High Backend service delays Infrastructure Scaling Partially Fixed
ALERT-22714,BankingApp,29/12/2024 00:00,High CPU Usage,Critical,"Inefficient code (infinite loops, unoptimized queries)",Restart impacted services,19,57,Yes,Support Engineer,Network Rerouting,Monitoring,"29/12/2024 00:00 High CPU Usage Restart impacted services BankingApp Critical Inefficient code (infinite loops, unoptimized queries) Network Rerouting Monitoring"
ALERT-43530,InventoryService,01/10/2024 00:00,Database Performance Issues,High,High DB connections,Kill long-running queries,2,118,No,Infrastructure Team,Network Rerouting,Closed,01/10/2024 00:00 Database Performance Issues Kill long-running queries InventoryService High High DB connections Network Rerouting Closed
ALERT-82817,NotificationService,16/09/2024 00:00,Database Performance Issues,Critical,High DB connections,Optimize queries and add indexing,14,50,No,Automated System,,Closed,16/09/2024 00:00 Database Performance Issues Optimize queries and add indexing NotificationService Critical High DB connections  Closed
ALERT-79124,NotificationService,14/11/2024 00:00,High CPU Usage,Critical,Unexpected traffic spike,Auto-scale infrastructure,7,20,Yes,Infrastructure Team,Database Indexing,Resolved,14/11/2024 00:00 High CPU Usage Auto-scale infrastructure NotificationService Critical Unexpected traffic spike Database Indexing Resolved
ALERT-11604,InventoryService,07/04/2024 00:00,Memory Leak Detected,High,Unreleased objects in application code,Fix memory leaks in code,16,99,No,Infrastructure Team,,Closed,07/04/2024 00:00 Memory Leak Detected Fix memory leaks in code InventoryService High Unreleased objects in application code  Closed
ALERT-82284,NotificationService,25/11/2024 00:00,Database Performance Issues,High,Indexing issues,Kill long-running queries,7,89,No,Support Engineer,,Monitoring,25/11/2024 00:00 Database Performance Issues Kill long-running queries NotificationService High Indexing issues  Monitoring
ALERT-22528,LoanProcessing,30/01/2025 00:00,Service Unavailability,Critical,Deployment issues breaking services,Restart service automatically,5,84,No,Support Engineer,Infrastructure Scaling,Reoccurred,30/01/2025 00:00 Service Unavailability Restart service automatically LoanProcessing Critical Deployment issues breaking services Infrastructure Scaling Reoccurred
ALERT-90300,InventoryService,25/09/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Restart failing microservices,19,89,No,Support Engineer,Network Rerouting,Partially Fixed,25/09/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InventoryService Critical High API traffic exceeding rate limits Network Rerouting Partially Fixed
ALERT-55730,InventoryService,05/11/2024 00:00,Delayed Response Time,Medium,High server load,Scale application infrastructure,8,92,No,Automated System,Network Rerouting,Partially Fixed,05/11/2024 00:00 Delayed Response Time Scale application infrastructure InventoryService Medium High server load Network Rerouting Partially Fixed
ALERT-89985,InventoryService,27/08/2024 00:00,Delayed Response Time,High,Slow database queries,Implement caching mechanisms,15,59,No,Automated System,Code Fix,Partially Fixed,27/08/2024 00:00 Delayed Response Time Implement caching mechanisms InventoryService High Slow database queries Code Fix Partially Fixed
ALERT-30567,BankingApp,17/05/2024 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Fix memory leaks in code,23,26,Yes,Infrastructure Team,,Partially Fixed,17/05/2024 00:00 Memory Leak Detected Fix memory leaks in code BankingApp Critical Unreleased objects in application code  Partially Fixed
ALERT-68234,LoanProcessing,10/02/2025 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,13,101,No,Infrastructure Team,Code Fix,Reoccurred,10/02/2025 00:00 API Failure - 500 Error Surge Scale up backend services LoanProcessing High Service down Code Fix Reoccurred
